name                                     time/op
_Chan_NumWriters1_InputSize600-8         23.3µs ± 1%
_ZenQ_NumWriters1_InputSize600-8         17.7µs ± 1%
_Chan_NumWriters3_InputSize60000-8       5.50ms ± 1%
_ZenQ_NumWriters3_InputSize60000-8       2.62ms ± 4%
_Chan_NumWriters8_InputSize6000000-8      686ms ± 1%
_ZenQ_NumWriters8_InputSize6000000-8      153ms ± 3%
_Chan_NumWriters100_InputSize6000000-8    1.59s ± 1%
_ZenQ_NumWriters100_InputSize6000000-8    166ms ± 7%
_Chan_NumWriters1000_InputSize7000000-8   1.98s ± 1%
_ZenQ_NumWriters1000_InputSize7000000-8   318ms ±12%
_Chan_Million_Blocking_Writers-8          10.8s ± 2%
_ZenQ_Million_Blocking_Writers-8          10.3s ± 5%

name                                     alloc/op
_Chan_NumWriters1_InputSize600-8          0.00B
_ZenQ_NumWriters1_InputSize600-8          0.00B
_Chan_NumWriters3_InputSize60000-8        97.2B ±60%
_ZenQ_NumWriters3_InputSize60000-8       28.5B ±121%
_Chan_NumWriters8_InputSize6000000-8      922B ±297%
_ZenQ_NumWriters8_InputSize6000000-8       860B ±87%
_Chan_NumWriters100_InputSize6000000-8   43.8kB ±39%
_ZenQ_NumWriters100_InputSize6000000-8   6.18kB ±69%
_Chan_NumWriters1000_InputSize7000000-8   472kB ±11%
_ZenQ_NumWriters1000_InputSize7000000-8  38.9kB ±47%
_Chan_Million_Blocking_Writers-8          553MB ± 0%
_ZenQ_Million_Blocking_Writers-8         46.3MB ±10%

name                                     allocs/op
_Chan_NumWriters1_InputSize600-8           0.00
_ZenQ_NumWriters1_InputSize600-8           0.00
_Chan_NumWriters3_InputSize60000-8         0.00
_ZenQ_NumWriters3_InputSize60000-8         0.00
_Chan_NumWriters8_InputSize6000000-8      2.83 ±182%
_ZenQ_NumWriters8_InputSize6000000-8       3.25 ±54%
_Chan_NumWriters100_InputSize6000000-8      161 ±24%
_ZenQ_NumWriters100_InputSize6000000-8     15.0 ±67%
_Chan_NumWriters1000_InputSize7000000-8   1.76k ± 5%
_ZenQ_NumWriters1000_InputSize7000000-8    26.2 ±37%
_Chan_Million_Blocking_Writers-8          2.00M ± 0%
_ZenQ_Million_Blocking_Writers-8          1.00M ± 0%
