name                                     time/op
_Chan_NumWriters1_InputSize600-8         23.3µs ± 1%
_ZenQ_NumWriters1_InputSize600-8         38.7µs ± 1%
_Chan_NumWriters3_InputSize60000-8       5.48ms ± 1%
_ZenQ_NumWriters3_InputSize60000-8       2.63ms ± 1%
_Chan_NumWriters8_InputSize6000000-8      685ms ± 1%
_ZenQ_NumWriters8_InputSize6000000-8      254ms ± 3%
_Chan_NumWriters100_InputSize6000000-8    1.60s ± 1%
_ZenQ_NumWriters100_InputSize6000000-8    298ms ± 1%
_Chan_NumWriters1000_InputSize7000000-8   1.98s ± 1%
_ZenQ_NumWriters1000_InputSize7000000-8   409ms ± 1%
_Chan_Million_Blocking_Writers-8          10.5s ± 1%
_ZenQ_Million_Blocking_Writers-8          1.99s ±16%

name                                     alloc/op
_Chan_NumWriters1_InputSize600-8          0.00B
_ZenQ_NumWriters1_InputSize600-8          0.00B
_Chan_NumWriters3_InputSize60000-8       17.5B ±163%
_ZenQ_NumWriters3_InputSize60000-8       13.4B ±348%
_Chan_NumWriters8_InputSize6000000-8      123B ±148%
_ZenQ_NumWriters8_InputSize6000000-8       545B ±56%
_Chan_NumWriters100_InputSize6000000-8   36.1kB ±49%
_ZenQ_NumWriters100_InputSize6000000-8   9.32kB ±32%
_Chan_NumWriters1000_InputSize7000000-8   479kB ± 8%
_ZenQ_NumWriters1000_InputSize7000000-8  89.3kB ± 5%
_Chan_Million_Blocking_Writers-8          553MB ± 0%
_ZenQ_Million_Blocking_Writers-8          122MB ± 3%

name                                     allocs/op
_Chan_NumWriters1_InputSize600-8           0.00
_ZenQ_NumWriters1_InputSize600-8           0.00
_Chan_NumWriters3_InputSize60000-8         0.00
_ZenQ_NumWriters3_InputSize60000-8         0.00
_Chan_NumWriters8_InputSize6000000-8      1.10 ±173%
_ZenQ_NumWriters8_InputSize6000000-8       3.19 ±57%
_Chan_NumWriters100_InputSize6000000-8      140 ±32%
_ZenQ_NumWriters100_InputSize6000000-8     21.8 ±33%
_Chan_NumWriters1000_InputSize7000000-8   1.77k ± 5%
_ZenQ_NumWriters1000_InputSize7000000-8    46.5 ±27%
_Chan_Million_Blocking_Writers-8          2.00M ± 0%
_ZenQ_Million_Blocking_Writers-8          1.00M ± 0%
